count,x,y,z,time
635,0.883689,-1.08178,-0.00976082,1345
189,0,0,0,1346
191,0.836878,-1.07723,-0.0152661,1347
393,0,0,0,1348
569,0.787442,-1.06923,-0.0207226,1349
283,0,0,0,1350
15,0.735326,-1.05754,-0.0261075,1351
437,0,0,0,1352
792,0.68047,-1.04184,-0.0313935,1353
164,0,0,0,1354
293,0.6228,-1.02177,-0.0365477,1355
51,0,0,0,1356
361,0.562234,-0.99687,-0.0415293,1357
270,0,0,0,1358
131,0.498681,-0.966597,-0.046287,1359
310,0,0,0,1360
603,0.432041,-0.930256,-0.0507541,1361
792,0,0,0,1362
992,0.362215,-0.886957,-0.0548416,1363
586,0,0,0,1364
384,0.289112,-0.835529,-0.0584264,1365
569,0,0,0,1366
410,0.212688,-0.774372,-0.0613309,1367
861,0,0,0,1368
677,0.13301,-0.701208,-0.0632845,1369
362,0,0,0,1370
376,0.0504481,-0.612604,-0.0638446,1371
569,0,0,0,1372
176,-0.0338012,-0.502975,-0.0622135,1373
576,0,0,0,1374
360,-0.115917,-0.362257,-0.0567369,1375
975,0,0,0,1376
145,-0.181479,-0.169943,-0.0431795,1377
817,0,0,0,1378
744,-0.155519,0.108032,-0.00785689,1379
685,0,0,0,1380
748,0.0555316,0.257464,0.0368144,1381
287,0,0,0,1382
164,0.242713,0.296022,0.065632,1383
243,0,0,0,1384
322,0.396382,0.293653,0.0853756,1385
506,0,0,0,1386
490,0.524509,0.272329,0.0996081,1387
189,0,0,0,1388
900,0.632944,0.240758,0.110093,1389
99,0,0,0,1390
581,0.725548,0.203148,0.117816,1391
960,0,0,0,1392
969,0.804946,0.161828,0.123387,1393
530,0,0,0,1394
402,0.872996,0.118218,0.127213,1395
16,0,0,0,1396
593,0.931063,0.0732497,0.129577,1397
169,0,0,0,1398
400,0.980178,0.0275738,0.130689,1399
119,0,0,0,1400
953,1.02114,-0.0183329,0.130708,1401
392,0,0,0,1402
260,1.05456,-0.0641034,0.129756,1403
825,0,0,0,1404
653,1.08095,-0.109443,0.127933,1405
600,0,0,0,1406
23,1.10069,-0.154106,0.125319,1407
864,0,0,0,1408
143,1.1141,-0.197877,0.121979,1409
130,0,0,0,1410
821,1.12144,-0.240561,0.117969,1411
18,0,0,0,1412
916,1.1229,-0.281973,0.113336,1413
764,0,0,0,1414
175,1.11862,-0.321935,0.108119,1415
221,0,0,0,1416
854,1.10872,-0.360264,0.102354,1417
425,0,0,0,1418
408,1.09325,-0.396772,0.0960722,1419
